,box_area,box_dist_x,box_dist_y,rleft_correction,rright_correction,landmark_x_offset
0,17399,22,-103,-8.358599999999996,-3.3585999999999956,-1.3095214089544527
1,17136,24,-104,-5.990399999999994,-2.990399999999994,-0.6032126843821572
2,17018,22,-104,-7.825199999999995,-2.8251999999999953,1.2606346963432884
3,16368,24,-104,-4.915199999999999,-3.9151999999999987,0.3506346963432918
4,16632,23,-104,-6.284800000000004,-3.28479999999999,-0.2797653036567169
5,17812,24,-110,-6.936800000000005,-5.936800000000005,5.4050626225860015
6,17080,20,-109,-9.912000000000006,-7.912000000000006,4.343008260299854
7,16819,21,-108,-8.546599999999998,-7.546600000000012,7.0148626225860085
8,16214,21,-108,-7.699600000000004,-7.699600000000004,3.0851469164530556
9,16680,24,-107,-5.352000000000004,-7.352000000000004,4.820262622586
10,16335,22,-107,-6.869,-6.869,3.217292554166903
11,16577,22,-107,-7.207799999999992,-7.207799999999992,3.601553898013691
12,16577,22,-107,-7.207799999999992,-8.207799999999992,4.6388082602998395
13,16920,21,-109,-8.688000000000002,-9.687999999999988,4.089960879574392
14,16779,21,-110,-8.4906,-10.4906,3.8470995357275513
15,16577,21,-109,-8.207799999999992,-11.207799999999992,2.5106312103200423
16,16335,23,-108,-5.869,-6.869,2.163624228759403
17,15827,22,-109,-6.157799999999995,-8.157800000000009,2.4069628849125593
18,16320,23,-109,-5.847999999999999,-8.848000000000013,5.059908522626415
19,16422,24,-108,-4.990800000000007,-8.990800000000007,5.210915504187113
20,16836,22,-107,-7.5704000000000065,-12.570400000000006,3.6414980550425184
21,16698,20,-105,-9.377200000000002,-14.377199999999988,5.493759398889296
22,16714,18,-104,-11.399599999999992,-16.399599999999992,7.574254160340246
23,15840,21,-106,-7.176000000000002,-12.175999999999988,2.3879085226263896
24,15589,25,-103,-2.8246000000000038,-11.824600000000004,2.2391942971785
25,15708,20,-104,-7.991199999999992,-13.991199999999992,4.554811746323082
26,13108,22,-107,-2.3512000000000057,-8.351200000000006,-10.382600201945905
